行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
大安區,34.71,286.9,1.839873509,10,12,0,3,2,2,1,坡道平面,2019/10/31,121.54681,25.031434,8128
大安區,109,154.07,40.89064115,1,5,0,2,2,2,0,無,2019/8/3,121.543038,25.027428,5750
大安區,11.02,129.75,33.14784013,12,12,0,2,2,2,1,無,2019/10/18,121.548679,25.033202,3600
大安區,57.98,488.94,1.267650944,11,31,0,3,2,3,1,坡道平面,2019/11/8,121.537532,25.033481,33168
大安區,39.5,111.17,50.41308172,4,4,0,3,2,2,0,無,2019/10/17,121.526791,25.024419,2550
文山區,12.72,120.44,12.02488757,6,13,0,2,2,1,1,坡道平面,2019/9/22,121.54261,24.998052,1610
文山區,3.71,45.32,23.80883933,8,24,1,1,1,1,1,無,2019/10/26,121.544491,24.998448,530
大安區,36,159.14,30.60980034,2,10,0,4,2,2,1,無,2019/10/31,121.548095,25.022767,4310
大安區,35.25,97.94,47.89968309,4,4,0,6,3,2,0,無,2019/8/25,121.537091,25.036359,2000
松山區,3.31,28.79,10.89686989,6,15,0,1,1,1,1,無,2019/10/29,121.552614,25.051646,940
大安區,3.43,41.04,11.10495082,5,14,0,1,1,1,1,無,2019/10/12,121.543582,25.033312,1340
文山區,36.8,190.81,8.947480099,8,14,0,4,2,2,1,坡道平面,2019/10/17,121.536121,25.005952,2700
大安區,47.07,186.56,16.11532064,4,7,0,4,2,2,1,坡道平面,2019/10/31,121.527218,25.027001,6100
大安區,36.79,195.27,35.54624667,7,7,0,4,2,2,1,無,2019/9/24,121.555952,25.033733,4638
大安區,24.51,119.07,36.55653436,1,7,0,1,2,1,1,無,2019/10/1,121.552463,25.026303,3088
大安區,38.43,194.9,14.47531435,2,8,0,4,2,2,1,坡道平面,2019/10/11,121.545868,25.040656,5400
松山區,22.02,129.13,34.22383759,2,7,0,3,2,2,1,無,2019/11/7,121.546315,25.06033,3280
松山區,3.56,37.84,33.56673991,2,12,1,1,1,1,1,無,2019/10/12,121.546869,25.048217,820
信義區,22.4,90.27,31.07524453,2,5,0,3,2,1,0,無,2019/11/3,121.558613,25.022201,1350
